grid_id,luas_hijau_m2,luas_bangunan_m2,panjang_jalan_m,index_right,kecamatan,rasio_hijau_bangunan,rasio_jalan_bangunan,emisi_score,kategori_emisi
536,61141.981339953534,54437.3498532992,581.5418866866755,1554.0,Jatilawang,1.1231417099291092,0.010682577415623694,0.14863774435374666,parah
537,124113.239720416,93987.559501397,522.2896765893653,1554.0,Jatilawang,1.3205143304549873,0.005556949477256348,0.21743138664732822,parah
537,124113.239720416,93987.559501397,522.2896765893653,1575.0,Wangon,1.3205143304549873,0.005556949477256348,0.21743138664732822,parah
538,235411.7403294053,14588.25967059465,0.0,1554.0,Jatilawang,16.135962046373667,0.0,-0.04763191410063898,normal
538,235411.7403294053,14588.25967059465,0.0,1575.0,Wangon,16.135962046373667,0.0,-0.04763191410063898,normal
539,225217.26553714628,2326.85553560029,627.5886936282624,1554.0,Jatilawang,96.74881541953975,0.2695995022158557,-0.03090325768443916,normal
540,229530.4202176881,0.0,0.0,1554.0,Jatilawang,229530.4202176881,0.0,-0.08057890223151658,normal
540,229530.4202176881,0.0,0.0,1564.0,Purwojati,229530.4202176881,0.0,-0.08057890223151658,normal
541,250000.0,0.0,0.0,1554.0,Jatilawang,250000.0,0.0,-0.08776494871038774,normal
541,250000.0,0.0,0.0,1564.0,Purwojati,250000.0,0.0,-0.08776494871038774,normal
542,174883.9492518793,71965.3971179317,1115.7762297098957,1554.0,Jatilawang,2.4300778732231945,0.015504127959629096,0.18701832541891736,parah
542,174883.9492518793,71965.3971179317,1115.7762297098957,1564.0,Purwojati,2.4300778732231945,0.015504127959629096,0.18701832541891736,parah
543,247294.57767768652,2705.422322313413,0.0,1554.0,Jatilawang,91.37324047279601,0.0,-0.08032219610335482,normal
543,247294.57767768652,2705.422322313413,0.0,1564.0,Purwojati,91.37324047279601,0.0,-0.08032219610335482,normal
544,246419.9025549233,0.0,0.0,1564.0,Purwojati,246419.9025549233,0.0,-0.08650812043580636,normal
545,157989.72858726588,47856.84385096914,542.2892051739091,1564.0,Purwojati,3.301229555582382,0.01133125025152857,0.09618225202398231,parah
546,179477.7165577589,45773.005489170646,855.8216828087473,1564.0,Purwojati,3.920952834250441,0.018696674535315032,0.10490824471476896,parah
547,223147.9849012785,16909.707003390427,414.6915268756025,1564.0,Purwojati,13.195662656596177,0.02452242397626906,-0.009621538904595967,sedang
548,114746.58392220656,52303.52569976477,580.1816915115025,1564.0,Purwojati,2.193817502157803,0.011092380319856564,0.12460588736341394,parah
549,236500.8292236764,13499.170776323595,112.09734565708396,1564.0,Purwojati,17.518358333544057,0.00830340204685993,-0.04302311449668233,normal
550,250000.0,0.0,0.0,1564.0,Purwojati,250000.0,0.0,-0.08776494871038774,normal
