grid_id,luas_hijau_m2,luas_bangunan_m2,panjang_jalan_m,index_right,kecamatan,road_km_per_km2,building_area_pct,green_area_pct,ratio_green_building,ratio_road_building,road_norm,build_norm,green_norm,emission_score,emission_label
5022,0.0,4150.948505912288,544.8743520350067,,,0.5448743520350067,0.41509485059122886,0.0,0.0,0.13123340794306987,0.16675671067870518,0.019514997310813676,0.0,0.057833012127937025,Sedang
5023,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rendah
5024,0.0,79221.47950880071,1259.2878570176003,,,1.2592878570176003,7.9221479508800705,0.0,0.0,0.0158955875254789,0.3854002304377121,0.37244667269924314,0.0,0.2645987382110109,Tinggi
5025,0.0,93852.84132172042,2216.5378616989915,,,2.2165378616989915,9.385284132172043,0.0,0.0,0.023616911470900257,0.6783629318048491,0.44123359839248705,0.0,0.38000231889844954,Tinggi
5026,0.0,130871.66434310668,772.3412401968942,,,0.7723412401968942,13.087166434310667,0.0,0.0,0.005901471052595522,0.23637208148213815,0.6152714672513462,0.0,0.31702021134517994,Tinggi
5027,0.0,76817.80961754432,947.9483609304108,,,0.9479483609304108,7.681780961754432,0.0,0.0,0.012340055328244932,0.29011596888647334,0.3611462165752656,0.0,0.23149327729604824,Sedang
5028,7932.030081168064,136639.81345956665,1944.0097038377269,,,1.9440097038377269,13.663981345956666,0.7932030081168063,0.05805022584643225,0.014227152595318662,0.5949567318203219,0.6423894655439676,0.03172812032467225,0.42592436966628194,Tinggi
5029,0.0,146449.20632168898,1896.3280650992065,,,1.8963280650992065,14.644920632168898,0.0,0.0,0.01294861996256788,0.5803639487206779,0.6885067023760731,0.0,0.4495118655666326,Tinggi
5030,0.0,45016.55578455784,988.3498651136504,,,0.9883498651136504,4.501655578455783,0.0,0.0,0.02195476515525704,0.3024806946602351,0.21163788561252345,0.0,0.17539936264307993,Sedang
5031,0.0,54283.55987178198,1234.4892773124102,,,1.23448927731241,5.428355987178199,0.0,0.0,0.022741075551284302,0.3778107200015968,0.2552051713988675,0.0,0.21542528456002605,Sedang
5032,8471.622395792476,33826.18817270617,1206.674703587405,,,1.206674703587405,3.382618817270617,0.8471622395792475,0.250438267364708,0.0356717412463216,0.3692981761353108,0.15902822458173538,0.0338864895831699,0.16423479579833639,Sedang
5033,0.0,30086.925916361568,1087.854819850929,,,1.087854819850929,3.008692591636157,0.0,0.0,0.03615585942596869,0.33293380533841205,0.14144870202850285,0.0,0.15645962241292477,Sedang
5034,0.0,41035.61977766368,971.339105543586,,,0.971339105543586,4.103561977766368,0.0,0.0,0.02367005642292906,0.29727461677924133,0.19292217392436156,0.0,0.16635125460351702,Sedang
5035,0.0,76004.76883526126,999.7454498022644,,,0.9997454498022644,7.6004768835261265,0.0,0.0,0.01315354696258863,0.3059682697531655,0.3573238399167171,0.0,0.2347200168926365,Sedang
5036,0.0,5057.819834539831,0.0,,,0.0,0.5057819834539832,0.0,0.0,0.0,0.0,0.02377850275160955,0.0,0.00951140110064382,Rendah
5037,7418.529307438356,139.28376062000822,523.2113894192967,,,0.5232113894192967,0.013928376062000822,0.7418529307438356,52.882309931319845,3.729664696090794,0.16012684385553808,0.0006548195454768939,0.029674117229753424,0.03939774580592616,Rendah
5038,12641.40680277006,0.0,0.0,,,0.0,0.0,1.2641406802770059,12641.40680277006,0.0,0.0,0.0,0.05056562721108024,-0.01516968816332407,Rendah
5039,0.0,21400.72607535298,170.16136272521834,,,0.17016136272521834,2.140072607535298,0.0,0.0,0.007950824252497206,0.0520772340020886,0.10061197126756127,0.0,0.055867958707651086,Sedang
