grid_id,luas_hijau_m2,luas_bangunan_m2,panjang_jalan_m,index_right,kecamatan
32,232044.88677476416,0.0,0.0,1561.0,Lumbir
33,250000.0,0.0,0.0,1561.0,Lumbir
34,89285.51097822996,77421.97775319342,1033.9666941541795,1561.0,Lumbir
35,0.0,21472.99682022604,91.41576261839764,1561.0,Lumbir
35,0.0,21472.99682022604,91.41576261839764,1553.0,Gumelar
36,43502.00458238338,1689.6821393240623,249.41754635472444,1561.0,Lumbir
36,43502.00458238338,1689.6821393240623,249.41754635472444,1553.0,Gumelar
37,120.32511873281622,0.0,0.0,1561.0,Lumbir
38,76731.26112338845,0.0,0.0,1561.0,Lumbir
39,247050.43147506335,0.0,0.0,1561.0,Lumbir
40,249999.99999999997,0.0,0.0,1561.0,Lumbir
41,116661.4549622713,0.0,509.6153696909949,1561.0,Lumbir
42,12556.0437906958,44379.02152348683,1060.3304278498165,1561.0,Lumbir
43,193016.77664932288,19891.053275185997,15.758566609992991,1561.0,Lumbir
44,74396.41386005787,0.0,0.0,1561.0,Lumbir
45,80685.67886363184,0.0,0.0,1561.0,Lumbir
45,80685.67886363184,0.0,0.0,1553.0,Gumelar
46,250000.0,0.0,0.0,1561.0,Lumbir
47,243892.82993413517,6107.170065864847,0.0,1561.0,Lumbir
47,243892.82993413517,6107.170065864847,0.0,1553.0,Gumelar
48,71404.53970630272,56015.07351072571,512.3851329313588,1561.0,Lumbir
48,71404.53970630272,56015.07351072571,512.3851329313588,1553.0,Gumelar
49,62349.29158995353,2402.192293425651,1118.4235289622682,1553.0,Gumelar
50,184837.58676480068,8853.490317045667,85.52984880360819,1553.0,Gumelar
51,235496.2143921108,0.0,0.0,1553.0,Gumelar
52,9800.99295212433,0.0,0.0,1561.0,Lumbir
53,70759.19576329185,0.0,0.0,1561.0,Lumbir
54,250000.0,0.0,0.0,1561.0,Lumbir
55,250000.0,0.0,0.0,1561.0,Lumbir
56,134242.9060216286,0.0,0.0,1561.0,Lumbir
57,13163.879178188194,146774.3505549047,1822.486636611652,1561.0,Lumbir
58,189222.39843515103,44960.31818823207,801.8418937716606,1561.0,Lumbir
59,250000.0,0.0,0.0,1561.0,Lumbir
60,139927.33085376595,0.0,352.08238189183726,1561.0,Lumbir
61,22765.85296904151,0.0,0.0,1561.0,Lumbir
62,82118.94970843087,0.0,0.0,1561.0,Lumbir
62,82118.94970843087,0.0,0.0,1553.0,Gumelar
63,3650.191457941904,0.0,0.0,1561.0,Lumbir
63,3650.191457941904,0.0,0.0,1553.0,Gumelar
64,65240.066397056085,0.0,0.0,1561.0,Lumbir
64,65240.066397056085,0.0,0.0,1553.0,Gumelar
65,250000.0,0.0,0.0,1561.0,Lumbir
65,250000.0,0.0,0.0,1553.0,Gumelar
66,220047.6768748838,0.0,0.0,1561.0,Lumbir
66,220047.6768748838,0.0,0.0,1553.0,Gumelar
67,209749.87672236667,19785.68071874495,0.0,1561.0,Lumbir
67,209749.87672236667,19785.68071874495,0.0,1553.0,Gumelar
68,142678.6184418055,31375.94991257081,561.4069479847883,1553.0,Gumelar
69,211045.3336805325,0.0,569.0520544171106,1553.0,Gumelar
70,202136.584047556,6214.509904761439,153.54306456808573,1553.0,Gumelar
71,220007.4212132645,5621.767667425707,380.4749740230876,1553.0,Gumelar
72,250000.0,0.0,0.0,1553.0,Gumelar
73,250000.0,0.0,0.0,1553.0,Gumelar
74,189330.07590592548,0.0,0.0,1561.0,Lumbir
75,48311.37309455403,0.0,39.56298172569205,1561.0,Lumbir
76,47241.227563125874,0.0,0.0,1561.0,Lumbir
77,14275.75621889861,0.0,0.0,1561.0,Lumbir
78,13140.18873248394,0.0,0.0,1561.0,Lumbir
79,20259.38144942355,0.0,0.0,1561.0,Lumbir
80,96838.65815955769,0.0,0.0,1561.0,Lumbir
81,250000.0,0.0,0.0,1561.0,Lumbir
82,242968.17150876683,0.0,0.0,1561.0,Lumbir
83,231775.68464552367,18118.212208707373,0.0,1561.0,Lumbir
84,167403.83557418003,29307.508592957263,532.887255159067,1561.0,Lumbir
85,209748.2291600426,40251.77083995733,516.1258342860325,1561.0,Lumbir
85,209748.2291600426,40251.77083995733,516.1258342860325,1553.0,Gumelar
86,43829.8987927658,72510.55642964403,1108.627426421048,1561.0,Lumbir
86,43829.8987927658,72510.55642964403,1108.627426421048,1553.0,Gumelar
87,175531.19528194604,0.0,0.0,1561.0,Lumbir
87,175531.19528194604,0.0,0.0,1553.0,Gumelar
88,250000.0,0.0,0.0,1561.0,Lumbir
88,250000.0,0.0,0.0,1553.0,Gumelar
89,250000.0,0.0,0.0,1561.0,Lumbir
89,250000.0,0.0,0.0,1553.0,Gumelar
90,236887.47926873565,0.0,0.0,1561.0,Lumbir
90,236887.47926873565,0.0,0.0,1553.0,Gumelar
91,166843.3995384773,491.600780509001,688.238433199022,1553.0,Gumelar
92,149456.7830956825,0.0,0.0,1553.0,Gumelar
93,247523.0964618382,0.0,0.0,1553.0,Gumelar
94,236013.48515912832,0.0,0.0,1553.0,Gumelar
