grid_id,kecamatan,cell_area_m2,bangunan_m2,hijau_m2,jalan_m,road_km_per_km2,building_area_pct,green_area_pct,ratio_green_building,ratio_road_building,score,kategori_emisi
61,Lumbir,157782.0203648835,0.0,139927.3308537429,352.08238189183726,2.231448051416877,0.0,88.68395177736335,139927.3308537429,352.08238189183726,-0.08063433429046885,Rendah
62,Lumbir,22765.85296904151,0.0,22765.852969041505,0.0,0.0,0.0,99.99999999999999,22765.852969041505,0.0,-0.11053967798373888,Rendah
63,Lumbir,82118.94970843087,0.0,82118.94970843088,0.0,0.0,0.0,100.00000000000003,82118.94970843088,0.0,-0.11053967798373894,Rendah
64,Lumbir,3650.1914579419044,0.0,3650.1914579419044,0.0,0.0,0.0,100.0,3650.1914579419044,0.0,-0.11053967798373891,Rendah
65,Lumbir,65240.06639705607,0.0,65240.066397056085,0.0,0.0,0.0,100.00000000000003,65240.066397056085,0.0,-0.11053967798373894,Rendah
66,Lumbir,250000.0,0.0,250000.0,0.0,0.0,0.0,100.0,250000.0,0.0,-0.11053967798373891,Rendah
67,Lumbir,250000.0,0.0,220047.67687488385,0.0,0.0,0.0,88.01907074995354,220047.67687488385,0.0,-0.09729599737127798,Rendah
68,Lumbir,250000.0,19785.68071874495,209749.87672236667,0.0,0.0,7.91427228749798,83.89995068894666,10.60055901764563,0.0,-0.07546284472717443,Rendah
69,Lumbir,250000.0,31375.949912570813,142678.6184418055,561.4069479847883,2.245627791939153,12.550379965028323,57.071447376722205,4.547243082561156,0.017892336557539874,-0.018177135815610174,Sedang
70,Lumbir,250000.0,0.0,211045.33368053255,569.0520544171106,2.2762082176684424,0.0,84.41813347221301,211045.33368053255,569.0520544171106,-0.07556995717333134,Rendah
71,Lumbir,250000.0,6214.5099047614385,202136.584047556,153.54306456808573,0.6141722582723429,2.4858039619045753,80.85463361902241,32.52131959321756,0.024703212917489344,-0.07916083245148275,Rendah
72,Lumbir,250000.0,5621.767667425707,220007.42121326452,380.47497402308755,1.5218998960923502,2.248707066970283,88.00296848530581,39.127958725349814,0.06766684958855536,-0.08050350527550668,Rendah
73,Lumbir,250000.0,0.0,250000.0,0.0,0.0,0.0,100.0,250000.0,0.0,-0.11053967798373891,Rendah
74,Lumbir,250000.0,0.0,250000.0,0.0,0.0,0.0,100.0,250000.0,0.0,-0.11053967798373891,Rendah
75,Lumbir,189330.07590592548,0.0,189330.0759059255,0.0,0.0,0.0,100.00000000000003,189330.0759059255,0.0,-0.11053967798373894,Rendah
76,Lumbir,48311.37309455403,0.0,48311.37309455403,39.56298172569205,0.8189165240296563,0.0,100.0,48311.37309455403,39.56298172569205,-0.10415531249457068,Rendah
