grid_id,kecamatan,cell_area_m2,bangunan_m2,hijau_m2,jalan_m,road_km_per_km2,building_area_pct,green_area_pct,ratio_green_building,ratio_road_building,score,kategori_emisi,wilayah
30,Jetis,250000.0,0.0,0.0,4835.873985724796,19.34349594289918,0.0,0.0,0.0,4835.873985724796,0.09625802389172396,Sedang,Yogyakarta
30,Jetis,250000.0,0.0,0.0,4835.873985724796,19.34349594289918,0.0,0.0,0.0,4835.873985724796,0.09625802389172396,Sedang,Yogyakarta
30,Tegalrejo,250000.0,0.0,0.0,4835.873985724796,19.34349594289918,0.0,0.0,0.0,4835.873985724796,0.09625802389172396,Sedang,Yogyakarta
30,Tegalrejo,250000.0,0.0,0.0,4835.873985724796,19.34349594289918,0.0,0.0,0.0,4835.873985724796,0.09625802389172396,Sedang,Yogyakarta
31,Jetis,250000.0,0.0,0.0,7605.877211795157,30.423508847180628,0.0,0.0,0.0,7605.877211795157,0.15139491073003358,Sedang,Yogyakarta
31,Jetis,250000.0,0.0,0.0,7605.877211795157,30.423508847180628,0.0,0.0,0.0,7605.877211795157,0.15139491073003358,Sedang,Yogyakarta
31,Tegalrejo,250000.0,0.0,0.0,7605.877211795157,30.423508847180628,0.0,0.0,0.0,7605.877211795157,0.15139491073003358,Sedang,Yogyakarta
31,Tegalrejo,250000.0,0.0,0.0,7605.877211795157,30.423508847180628,0.0,0.0,0.0,7605.877211795157,0.15139491073003358,Sedang,Yogyakarta
32,Tegalrejo,250000.0,0.0,0.0,3403.9072792718316,13.615629117087327,0.0,0.0,0.0,3403.9072792718316,0.06775474075225571,Rendah,Yogyakarta
33,Tegalrejo,180307.53560443793,0.0,0.0,2501.5557631540396,13.873828150155632,0.0,0.0,0.0,2501.5557631540396,0.06903960305260079,Rendah,Yogyakarta
34,Tegalrejo,1839.1030996063564,0.0,0.0,83.09275394100752,45.181128757160366,0.0,0.0,0.0,83.09275394100752,0.22483248034377643,Tinggi,Yogyakarta
35,Mantrijeron,182281.96738877738,0.0,3673.830130735676,1945.730890244173,10.674291692793998,0.0,2.015465480960057,3673.830130735676,1945.730890244173,0.03688108334066273,Rendah,Yogyakarta
36,Mantrijeron,250000.0,0.0,18102.896555595613,3877.6606721301846,15.510642688520738,0.0,7.2411586222382445,18102.896555595613,3877.6606721301846,0.018849145389972725,Rendah,Yogyakarta
